category,manufacturer,modelname,serialnumber,ondate,inventory,operatorcode,project,ownercode,propertytag,epochnotes,isinstalled,netcode,lookupcode,monname,installdate
BATTERY,UNKNOWN,UNKNOWN,SPMN3-2021-06,2021-06-09 (160) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,SPMN,"Marine on St. Croix, MN, USA",2021-06-09 (160) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,SPMN4-2021-06,2021-06-09 (160) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,SPMN,"Marine on St. Croix, MN, USA",2021-06-09 (160) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E28B1-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E28B,"Huff Hills, Mandan, ND, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E28B2-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E28B,"Huff Hills, Mandan, ND, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E28B3-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E28B,"Huff Hills, Mandan, ND, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A1-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A10-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A11-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A12-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
BATTERY,UNKNOWN,UNKNOWN,E62A2-2021-06,2021-06-12 (163) 16:00:00,FUNCTIONAL,ASL,,,,,Yes,N4,E62A,"Clayton Lake, ME, USA",2021-06-12 (163) 16:00:00
